,Thr,TP,FP,TN,FN,Accuracy,Precision,Recall,Specificity,F1,F2,Mean RT
0,0.1,360.0,1606.0,581.0,5.0,0.368730407523511,0.18311291963377416,0.9863013698630136,0.26566072245084593,0.3088803088803089,0.5253940455341506,0.0
1,0.2,359.0,775.0,842.0,6.0,0.6059535822401615,0.3165784832451499,0.9835616438356164,0.520717377860235,0.4789859906604404,0.6919814957594449,0.0
2,0.3,358.0,481.0,975.0,7.0,0.7320153761669412,0.4266984505363528,0.9808219178082191,0.6696428571428571,0.5946843853820598,0.7785993910395824,0.0
3,0.4,358.0,314.0,1080.0,7.0,0.8175099488345651,0.5327380952380952,0.9808219178082191,0.7747489239598279,0.6904532304725169,0.8395872420262666,0.0
4,0.5,356.0,195.0,1172.0,9.0,0.8822170900692841,0.6460980036297641,0.9753424657534246,0.8573518653986832,0.777292576419214,0.8851317752362009,0.0
5,0.6,345.0,102.0,1258.0,20.0,0.9292753623188406,0.7718120805369127,0.9452054794520548,0.925,0.8497536945812808,0.9045621394861038,0.0
6,0.7,332.0,34.0,1318.0,33.0,0.9609784507862551,0.907103825136612,0.9095890410958904,0.9748520710059172,0.908344733242134,0.9090909090909092,0.0
7,0.8,313.0,6.0,1345.0,52.0,0.9662004662004662,0.9811912225705329,0.8575342465753425,0.9955588452997779,0.9152046783625731,0.8797077009555933,0.0
8,0.9,190.0,0.0,1351.0,175.0,0.8980186480186481,1.0,0.5205479452054794,1.0,0.6846846846846847,0.5757575757575757,75.99999240000075
