,Video,Thr,TP,FP,TN,FN,RT
0,1.0,0.1,360.0,1606.0,581.0,5.0,0.0
1,1.0,0.2,359.0,775.0,842.0,6.0,0.0
2,1.0,0.3,358.0,481.0,975.0,7.0,0.0
3,1.0,0.4,358.0,314.0,1080.0,7.0,0.0
4,1.0,0.5,356.0,195.0,1172.0,9.0,0.0
5,1.0,0.6,345.0,102.0,1258.0,20.0,0.0
6,1.0,0.7,332.0,34.0,1318.0,33.0,0.0
7,1.0,0.8,313.0,6.0,1345.0,52.0,0.0
8,1.0,0.9,190.0,0.0,1351.0,175.0,76.0
9,2.0,0.1,301.0,91.0,0.0,1.0,0.0
10,2.0,0.2,301.0,19.0,0.0,1.0,0.0
11,2.0,0.3,301.0,5.0,0.0,1.0,0.0
12,2.0,0.4,301.0,2.0,0.0,1.0,0.0
13,2.0,0.5,301.0,1.0,0.0,1.0,0.0
14,2.0,0.6,301.0,0.0,0.0,1.0,0.0
15,2.0,0.7,301.0,0.0,0.0,1.0,0.0
16,2.0,0.8,282.0,0.0,0.0,20.0,0.0
17,2.0,0.9,68.0,0.0,0.0,234.0,27.0
18,3.0,0.1,537.0,524.0,9.0,101.0,0.0
19,3.0,0.2,519.0,247.0,18.0,119.0,0.0
20,3.0,0.3,462.0,136.0,26.0,176.0,0.0
21,3.0,0.4,398.0,55.0,38.0,240.0,0.0
22,3.0,0.5,333.0,28.0,42.0,305.0,0.0
23,3.0,0.6,227.0,15.0,47.0,411.0,0.0
24,3.0,0.7,143.0,5.0,49.0,495.0,6.0
25,3.0,0.8,55.0,0.0,52.0,583.0,344.0
26,3.0,0.9,2.0,0.0,52.0,636.0,561.0
27,4.0,0.1,425.0,272.0,66.0,496.0,0.0
28,4.0,0.2,325.0,100.0,89.0,596.0,0.0
29,4.0,0.3,255.0,53.0,95.0,666.0,0.0
30,4.0,0.4,191.0,31.0,96.0,730.0,2.0
31,4.0,0.5,108.0,15.0,97.0,813.0,158.0
32,4.0,0.6,42.0,5.0,98.0,879.0,158.0
33,4.0,0.7,9.0,4.0,98.0,912.0,184.0
34,4.0,0.8,0.0,0.0,99.0,921.0,-1.0
35,4.0,0.9,0.0,0.0,99.0,921.0,-1.0
36,5.0,0.1,1136.0,2087.0,635.0,218.0,8.0
37,5.0,0.2,979.0,962.0,844.0,375.0,11.0
38,5.0,0.3,799.0,550.0,988.0,555.0,11.0
39,5.0,0.4,643.0,347.0,1060.0,711.0,39.0
40,5.0,0.5,508.0,220.0,1118.0,846.0,41.0
41,5.0,0.6,359.0,137.0,1154.0,995.0,68.0
42,5.0,0.7,200.0,73.0,1192.0,1154.0,70.0
43,5.0,0.8,121.0,14.0,1243.0,1233.0,89.0
44,5.0,0.9,0.0,0.0,1256.0,1354.0,-1.0
45,6.0,0.1,424.0,288.0,0.0,30.0,0.0
46,6.0,0.2,418.0,122.0,0.0,36.0,0.0
47,6.0,0.3,409.0,56.0,0.0,45.0,0.0
48,6.0,0.4,400.0,23.0,0.0,54.0,0.0
49,6.0,0.5,388.0,10.0,0.0,66.0,0.0
50,6.0,0.6,366.0,4.0,0.0,88.0,0.0
51,6.0,0.7,268.0,1.0,0.0,186.0,2.0
52,6.0,0.8,142.0,0.0,0.0,312.0,18.0
53,6.0,0.9,3.0,0.0,0.0,451.0,39.0
54,7.0,0.1,851.0,1845.0,30.0,265.0,25.0
55,7.0,0.2,752.0,981.0,79.0,364.0,84.0
56,7.0,0.3,700.0,634.0,118.0,416.0,105.0
57,7.0,0.4,633.0,436.0,146.0,483.0,105.0
58,7.0,0.5,581.0,292.0,177.0,535.0,119.0
59,7.0,0.6,494.0,167.0,210.0,622.0,119.0
60,7.0,0.7,366.0,81.0,241.0,750.0,171.0
61,7.0,0.8,251.0,11.0,278.0,865.0,171.0
62,7.0,0.9,34.0,0.0,283.0,1082.0,398.0
63,8.0,0.1,146.0,772.0,82.0,627.0,32.0
64,8.0,0.2,69.0,325.0,105.0,704.0,32.0
65,8.0,0.3,38.0,176.0,123.0,735.0,34.0
66,8.0,0.4,24.0,100.0,137.0,749.0,34.0
67,8.0,0.5,17.0,58.0,149.0,756.0,34.0
68,8.0,0.6,11.0,38.0,160.0,762.0,36.0
69,8.0,0.7,7.0,22.0,169.0,766.0,36.0
70,8.0,0.8,0.0,6.0,182.0,773.0,-1.0
71,8.0,0.9,0.0,0.0,187.0,773.0,-1.0
72,9.0,0.1,405.0,143.0,104.0,227.0,2.0
73,9.0,0.2,385.0,46.0,128.0,247.0,5.0
74,9.0,0.3,366.0,20.0,135.0,266.0,5.0
75,9.0,0.4,339.0,9.0,135.0,293.0,5.0
76,9.0,0.5,302.0,1.0,136.0,330.0,6.0
77,9.0,0.6,245.0,1.0,136.0,387.0,6.0
78,9.0,0.7,183.0,1.0,136.0,449.0,6.0
79,9.0,0.8,99.0,1.0,136.0,533.0,10.0
80,9.0,0.9,11.0,0.0,136.0,621.0,150.0
81,10.0,0.1,190.0,78.0,0.0,1.0,0.0
82,10.0,0.2,190.0,11.0,0.0,1.0,0.0
83,10.0,0.3,190.0,5.0,0.0,1.0,0.0
84,10.0,0.4,186.0,0.0,0.0,5.0,0.0
85,10.0,0.5,173.0,0.0,0.0,18.0,3.0
86,10.0,0.6,137.0,0.0,0.0,54.0,5.0
87,10.0,0.7,71.0,0.0,0.0,120.0,8.0
88,10.0,0.8,33.0,0.0,0.0,158.0,83.0
89,10.0,0.9,11.0,0.0,0.0,180.0,118.0
90,11.0,0.1,921.0,365.0,0.0,264.0,0.0
91,11.0,0.2,717.0,135.0,0.0,468.0,0.0
92,11.0,0.3,519.0,79.0,0.0,666.0,0.0
93,11.0,0.4,388.0,40.0,0.0,797.0,0.0
94,11.0,0.5,242.0,22.0,0.0,943.0,0.0
95,11.0,0.6,126.0,1.0,0.0,1059.0,0.0
96,11.0,0.7,52.0,0.0,0.0,1133.0,36.0
97,11.0,0.8,9.0,0.0,0.0,1176.0,250.0
98,11.0,0.9,1.0,0.0,0.0,1184.0,250.0
99,12.0,0.1,225.0,269.0,138.0,45.0,0.0
100,12.0,0.2,204.0,114.0,189.0,66.0,1.0
101,12.0,0.3,188.0,69.0,209.0,82.0,1.0
102,12.0,0.4,181.0,41.0,221.0,89.0,1.0
103,12.0,0.5,176.0,17.0,230.0,94.0,1.0
104,12.0,0.6,164.0,6.0,238.0,106.0,3.0
105,12.0,0.7,153.0,1.0,239.0,117.0,3.0
106,12.0,0.8,99.0,0.0,240.0,171.0,5.0
107,12.0,0.9,50.0,0.0,240.0,220.0,82.0
108,13.0,0.1,324.0,110.0,0.0,3.0,0.0
109,13.0,0.2,324.0,50.0,0.0,3.0,0.0
110,13.0,0.3,323.0,24.0,0.0,4.0,0.0
111,13.0,0.4,321.0,14.0,0.0,6.0,0.0
112,13.0,0.5,313.0,7.0,0.0,14.0,0.0
113,13.0,0.6,287.0,2.0,0.0,40.0,0.0
114,13.0,0.7,252.0,0.0,0.0,75.0,0.0
115,13.0,0.8,166.0,0.0,0.0,161.0,0.0
116,13.0,0.9,33.0,0.0,0.0,294.0,1.0
117,14.0,0.1,707.0,2163.0,35.0,71.0,0.0
118,14.0,0.2,670.0,1168.0,62.0,108.0,0.0
119,14.0,0.3,628.0,736.0,97.0,150.0,0.0
120,14.0,0.4,599.0,479.0,143.0,179.0,0.0
121,14.0,0.5,557.0,310.0,190.0,221.0,0.0
122,14.0,0.6,507.0,187.0,229.0,271.0,0.0
123,14.0,0.7,456.0,88.0,286.0,322.0,2.0
124,14.0,0.8,377.0,15.0,338.0,401.0,2.0
125,14.0,0.9,237.0,0.0,349.0,541.0,30.0
126,15.0,0.1,1079.0,179.0,54.0,24.0,0.0
127,15.0,0.2,1065.0,67.0,63.0,38.0,0.0
128,15.0,0.3,1041.0,44.0,65.0,62.0,0.0
129,15.0,0.4,1004.0,21.0,67.0,99.0,0.0
130,15.0,0.5,977.0,12.0,67.0,126.0,0.0
131,15.0,0.6,934.0,3.0,69.0,169.0,0.0
132,15.0,0.7,906.0,0.0,71.0,197.0,0.0
133,15.0,0.8,857.0,0.0,71.0,246.0,0.0
134,15.0,0.9,578.0,0.0,71.0,525.0,0.0
135,16.0,0.1,336.0,1160.0,431.0,431.0,0.0
136,16.0,0.2,272.0,546.0,621.0,495.0,0.0
137,16.0,0.3,228.0,351.0,689.0,539.0,0.0
138,16.0,0.4,189.0,244.0,722.0,578.0,0.0
139,16.0,0.5,134.0,183.0,746.0,633.0,1.0
140,16.0,0.6,70.0,120.0,765.0,697.0,1.0
141,16.0,0.7,24.0,70.0,788.0,743.0,8.0
142,16.0,0.8,11.0,20.0,805.0,756.0,126.0
143,16.0,0.9,0.0,0.0,817.0,767.0,-1.0
144,17.0,0.1,1084.0,2975.0,147.0,169.0,1.0
145,17.0,0.2,971.0,1475.0,293.0,282.0,1.0
146,17.0,0.3,854.0,969.0,393.0,399.0,8.0
147,17.0,0.4,757.0,638.0,490.0,496.0,10.0
148,17.0,0.5,643.0,403.0,576.0,610.0,340.0
149,17.0,0.6,507.0,206.0,669.0,746.0,340.0
150,17.0,0.7,365.0,92.0,727.0,888.0,340.0
151,17.0,0.8,225.0,22.0,758.0,1028.0,421.0
152,17.0,0.9,5.0,0.0,765.0,1248.0,456.0
153,18.0,0.1,208.0,1297.0,164.0,43.0,10.0
154,18.0,0.2,187.0,795.0,227.0,64.0,10.0
155,18.0,0.3,159.0,541.0,275.0,92.0,27.0
156,18.0,0.4,148.0,349.0,326.0,103.0,27.0
157,18.0,0.5,140.0,208.0,380.0,111.0,28.0
158,18.0,0.6,134.0,109.0,446.0,117.0,28.0
159,18.0,0.7,121.0,48.0,489.0,130.0,29.0
160,18.0,0.8,107.0,13.0,522.0,144.0,32.0
161,18.0,0.9,52.0,0.0,535.0,199.0,59.0
